x,transmission
0.06092,29.95
0.06275,29.3256
0.06436,28.3389
0.06643,27.2273
0.06827,26.3405
0.07023,25.5225
0.07195,24.6295
0.0739,23.8364
0.07586,22.9246
0.07769,22.2315
0.07942,21.5196
0.08125,20.7327
0.08298,20.0333
0.08493,19.4276
0.08642,18.8281
0.08837,18.2286
0.09032,17.6353
0.09227,17.0296
0.094,16.5362
0.09606,16.0491
0.09778,15.5495
0.09973,15.0187
0.10134,14.6316
0.10329,14.1507
0.10512,13.7323
0.10696,13.3389
0.10845,12.9517
0.1104,12.5458
0.11258,12.1399
0.11441,11.8651
0.11602,11.453
0.11774,11.1407
0.11946,10.8535
0.12164,10.5537
0.12359,10.254
0.12519,10.0416
0.12691,9.7606
0.1292,9.4421
0.13069,9.2485
0.1323,8.9488
0.13436,8.7552
0.13642,8.5491
0.13814,8.3618
0.1394,8.1182
0.14147,7.8247
0.14422,7.525
0.1472,7.2752
0.15109,6.8693
0.1551,6.5445
0.15774,6.3197
0.1606,6.0512
0.16461,5.8201
0.16885,5.4829
0.17412,5.1707
0.17916,4.8272
0.18351,4.6274
0.19107,4.2714
0.19737,3.9904
0.20344,3.7281
0.2094,3.4784
0.21765,3.2473
0.22544,2.9975
0.23093,2.8476
0.23883,2.6353
0.24708,2.4729
0.25773,2.2356
0.26403,2.1045
0.27697,1.9109
0.28957,1.7173
0.30182,1.5799
0.31762,1.3863
0.33766,1.199
0.36011,0.9929
0.37522,0.9305
0.38965,0.8118
0.40156,0.7806
0.41209,0.7556
0.42366,0.6744
0.43637,0.612
0.45251,0.5433
0.46992,0.5058
0.48778,0.4434
0.50816,0.3934
0.54068,0.3497
0.57057,0.3185
0.61797,0.306
0.66389,0.2248
0.69882,0.2061
